15q25.2_1
Yq11.23a_1
Yq11.23b_1
16p11.2_2
LTRW15_2
20p11.21a_3
20p11.21b_3
HML2.LTR205_4
HML2.LTR381_4
LTRW19_4
1p36.21b_5
1p36.21c_5
HML2.LTR50_6
HML2.LTR62_6
HML2.LTR52_6
HML2.LTR63_6
HML2.LTR55_6
HML2.LTR60_6
HML2.LTR54_7
HML2.LTR61_7
LTRM9_8
LTRW2_8
HML2.LTR527_9
HML2.LTR529_9
HML2.LTR530_9
HML2.LTR195_10
4p16.1a_10
4p16.1b_10
4p16.3b_10
8p23.1b_10
8p23.1c_10
8p23.1d_10
11p15.4_10
HML2.LTR579_10
HML2.LTR601_10
HML2.LTR172_11
HML2.LTR174_11
HML2.LTR187_11
HML2.LTR188_11
HML2.LTR192_11
HML2.LTR193_11
HML2.LTR218_11
HML2.LTR219_11
HML2.LTR221_11
HML2.LTR222_11
HML2.LTR223_11
HML2.LTR224_11
HML2.LTR226_11
HML2.LTR227_11
HML2.LTR228_11
HML2.LTR230_11
HML2.LTR366_11
HML2.LTR367_11
HML2.LTR388_11
HML2.LTR405_11
HML2.LTR406_11
HML2.LTR418_11
HML2.LTR419_11
HML2.LTR431_11
HML2.LTR432_11
HML2.LTR435_11
HML2.LTR544_11
HML2.LTR545_11
HML2.LTR576_11
HML2.LTR577_11
HML2.LTR581_11
HML2.LTR583_11
HML2.LTR584_11
HML2.LTR585_11
HML2.LTR602_11
HML2.LTR603_11
HML2.LTR555_12
HML2.LTR556_12
HML2.LTR173_13
HML2.LTR194_13
HML2.LTR220_13
HML2.LTR368_13
HML2.LTR578_13
3p12.3a_14
3q21.2a_14
4p16.1d_14
4p16.1c_14
4p16.3_14
8p23.1f_14
8p23.1e_14
8p23.1g_14
LTRM15_14
LTRM7_14
11p15.4a_14
HML2.LTR225_15
HML2.LTR407_15
HML2.LTR408_15
HML2.LTR409_15
HML2.LTR410_15
HML2.LTR411_15
HML2.LTR412_15
HML2.LTR413_15
HML2.LTR414_15
HML2.LTR415_15
HML2.LTR416_15
HML2.LTR417_15
HML2.LTR420_15
HML2.LTR421_15
HML2.LTR422_15
HML2.LTR423_15
HML2.LTR424_15
HML2.LTR425_15
HML2.LTR426_15
HML2.LTR427_15
HML2.LTR428_15
HML2.LTR429_15
HML2.LTR430_15
HML2.LTR433_15
HML2.LTR434_15
HML2.LTR600_15
HML2.LTR634_16
HML2.LTR874_16
HML2.LTR637_17
HML2.LTR638_17
LTRW13_18
HML2.LTR859_18
HML2.LTR894_18
HML2.LTR891_18
HML2.LTR886_18
HML2.LTR887_18
HML2.LTR888_18
HML2.LTR890_18
HML2.LTR131_19
HML2.LTR482_19
HML2.LTR486_19
HML2.LTR649_19
HML2.LTR680_19
HML2.LTR746_19
HML2.LTR873_19
HML2.LTR130_20
HML2.LTR650_20
HML2.LTR651_20
HML2.LTR884_20
HML2.LTR656_21
HML2.LTR657_21
HML2.LTR707_22
LTRM19_22
HML2.LTR722_23
HML2.LTR725_23
HML2.LTR728_23
HML2.LTR735_24
HML2.LTR738_24
HML2.LTR509_25
HML2.LTR743_25
HML2.LTR234_26
HML2.LTR748_26
HML2.LTR826_27
HML2.LTR830_27
HML2.LTR116_28
HML2.LTR478_28
HML2.LTR479_28
HML2.LTR480_28
HML2.LTR481_28
HML2.LTR124_29
HML2.LTR125_29
HML2.LTR175_30
LTRM2_30
LTRW22_31
LTRM5_31
LTRM6_31
HML2.LTR936_31
HML2.LTR882_32
LTRW23_32
5q33.3_33
HML2.LTR310_33
HML2.LTR354_33
HML2.LTR384_34
HML2.LTR386_34
HML2.LTR477_35
HML2.LTR494_35
HML2.LTR484_36
HML2.LTR487_36
HML2.LTR896_37
HML2.LTR928_37
HML2.LTR897_38
HML2.LTR929_38
HML2.LTR898_39
HML2.LTR930_39
HML2.LTR911_40
HML2.LTR931_40
HML2.LTR913_41
HML2.LTR932_41
HML2.LTR944_42
HML2.LTR945_42
HML2.LTR946_42
Yq11.23_43
Yq11.223_43
HML2.LTR785_44
HML2.LTR810_44
HML2.LTR721_45
HML2.LTR729_45
HML2.LTR868_45
HML2.LTR213_46
4q35.2_46
